'[q1.0, #, a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a, #]'
'[#, q1.0, a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a, #]'
'[#, I, a]', '[q1.1, a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a, #]'
'[#, I, a]', '[I, a]', '[q1.2, a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a, #]'
'[#, I, a]', '[q1.3, I, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a, #]'
'[#, q1.3, I, a]', '[I, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a, #]'
'[q1.3, #, I, a]', '[I, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a, #]'
'[#, q2.1.1, I, a]', '[I, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a, #]'
'[#, i, a]', '[q2.1.2, I, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a, #]'
'[#, i, a]', '[I, a]', '[q2.1.2, a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a, #]'
'[#, i, a]', '[q2.1.4, I, a]', '[b, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a, #]'
'[#, q2.1.5, i, a]', '[I, a]', '[b, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a, #]'
'[#, i, a]', '[q2.1.1, I, a]', '[b, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a, #]'
'[#, i, a]', '[i, a]', '[q2.1.2, b, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a, #]'
'[#, i, a]', '[i, a]', '[c, a]', '[q2.1.3, a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a, #]'
'[#, i, a]', '[i, a]', '[q2.1.4, c, a]', '[b, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a, #]'
'[#, i, a]', '[q2.1.4, i, a]', '[c, a]', '[b, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a, #]'
'[#, i, a]', '[i, a]', '[q2.2.1, c, a]', '[b, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a, #]'
'[#, i, a]', '[i, a]', '[c, a]', '[q2.2.1, b, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a, #]'
'[#, i, a]', '[i, a]', '[c, a]', '[b, a]', '[q2.2.2, a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a, #]'
